Datetime,Subscribers,Days elapsed
2022-03-13 14:10,500000,87 days after 400K (202 days after debut)
2021-12-16 14:00,400000,65 days after 300K (115 days after debut)
2021-10-12 15:40,300000,50 days after 200K (50 days after debut)
2021-08-23 21:00,200000,0 days after 100K (0 days after debut)
2021-08-18 8:20,100000,5 days before debut
2021-08-23,Debut,-
