Datetime,Subscribers,Days elapsed
2022/1/7 20:00,800000,"160 days after 700K (1,221 days after debut)"
2021/7/31 09:50,700000,"91 days after 600K (1,061 days after debut)"
2021/5/1 03:20,600000,95 days after 500K (970 days after debut)
2021/1/26 12:00,500000,74 days after 400K (875 days after debut)
2020/11/13 14:50,400000,97 days after 300K (801 days after debut)
2020/8/8,300000,134 days after 200K (704 days after debut)
2020/3/27,200000,332 days after 100K (570 days after debut)
2019/4/30,100000,238 days after debut
2018/9/4,Debut,-
