Datetime,Subscribers,Days elapsed
2022-05-14 22:30,800000,222 days after 700K (861 days after debut)
2021-10-04 19:30,700000,102 days after 600K (639 days after debut)
2021-06-24 23:10,600000,98 days after 500K (537 days after debut)
2021-03-18 18:50,500000,89 days after 400K (439 days after debut)
2020-12-19 16:30,400000,88 days after 300K (350 days after debut)
2020-09-22 11:30,300000,69 days after 200K (262 days after debut)
2020-07-15,200000,109 days after 100K (193 days after debut)
2020-03-28,100000,84 days after debut
2020-01-04,Debut,-
