Datetime,Subscribers,Days elapsed
2021/11/12 01:00,800000,123 days after 700K (828 days after debut)
2021/7/12 01:30,700000,78 days after 600K (705 days after debut)
2021/4/25 16:30,600000,77 days after 500K (627 days after debut)
2021/2/7 16:50,500000,65 days after 400K (550 days after debut)
2020/12/4 19:50,400000,72 days after 300K (485 days after debut)
2020/9/23 00:30,300000,83 days after 200K (413 days after debut)
2020/7/2,200000,111 days after 100K (330 days after debut)
2020/3/13,100000,219 days after debut
2019/8/7,Debut,-
