Datetime,Subscribers,Days elapsed
2022-01-09 16:10,800000,"177 days after 700K (1,407 days after debut)"
2021-07-16 20:20,700000,"82 days after 600K (1,230 days after debut)"
2021-04-25 16:00,600000,"99 days after 500K (1,148 days after debut)"
2021-01-16 11:50,500000,"70 days after 400K (1,049 days after debut)"
2020-11-07 17:20,400000,95 days after 300K (979 days after debut)
2020-08-04,300000,110 days after 200K (884 days after debut)
2020-04-16,200000,344 days after 100K (774 days after debut)
2019-05-08,100000,430 days after debut
2018-03-04,Debut,-
