Datetime,Subscribers,Days elapsed
2022-03-10 23:40,300000,148 days after 200K (199 days after debut)
2021-10-13 11:10,200000,51 days after 100K (51 days after debut)
2021-08-18 16:00,100000,5 days before debut
2021-08-23,Debut,-
