Datetime,Subscribers,Days elapsed
2022-03-25 10:50,600000,82 days after 500K (214 days after debut)
2022-01-02 0:20,500000,64 days after 400K (132 days after debut)
2021-10-30 11:40,400000,38 days after 300K (68 days after debut)
2021-09-22 13:50,300000,30 days after 200K (30 days after debut)
2021-08-23 18:00,200000,0 days after 100K (0 days after debut)
2021-08-18 9:10,100000,5 days before debut
2021-08-23,Debut,-
