Datetime,Subscribers,Days elapsed
2022-03-29 9:00,800000,139 days after 700K (261 days after debut)
2021-11-10 15:00,700000,78 days after 600K (122 days after debut)
2021-08-24 19:40,600000,37 days after 500K (44 days after debut)
2021-07-18 23:20,500000,6 days after 400K (7 days after debut)
2021-07-12 12:50,400000,1 days after 300K (1 days after debut)
2021-07-11 12:00,300000,0 days after 200K (0 days after debut)
2021-07-08 9:40,200000,3 days after 100K (3 days before debut)
2021-07-07 15:10,100000,4 days before debut
2021-07-11,Debut,-
